部材,項目,値_mm
全体,E_葉部材有効三角形一辺_mm,59.0
全体,S_三組手中心線一辺_mm,66.27
全体,親桟太さ_mm,4.0
全体,葉桟太さ_mm,4.0
全体,中心線から有効三角形までのオフセット_mm,2.1
葉A,全長_A-D_mm,36.37
葉A,下端剣先深さ_A-BF_mm,3.46
葉A,上端剣先深さ_D-CE_mm,3.46
葉A,通常幅部分_BF-CE_mm,29.44
葉A,幅_B-F_mm,4.0
BC連続部材,スリット幅_L-N_mm,4.0
BC連続部材,スリット深さ_H-LN_mm,3.46
BC連続部材,ISR_Jから直線LSへの垂線距離_mm,32.91
BC連続部材,"ISR_2倍寸法_2×d(J,LS)_mm",65.82
BC連続部材,左腕外端幅_I-K_mm,4.0
BC連続部材,右腕外端幅_P-R_mm,4.0
BC連続部材,左腕外端剣先深さ_J-IK_mm,3.46
BC連続部材,右腕外端剣先深さ_Q-PR_mm,3.46
葉A,辺長_A-B,4.0
葉A,辺長_B-C,29.44
葉A,辺長_C-D,4.0
葉A,辺長_D-E,4.0
葉A,辺長_E-F,29.44
葉A,辺長_F-A,4.0
BC連続部材,辺長_H-I,29.44
BC連続部材,辺長_I-J,4.0
BC連続部材,辺長_J-K,4.0
BC連続部材,辺長_K-L,29.44
BC連続部材,辺長_L-N,4.0
BC連続部材,辺長_N-P,29.44
BC連続部材,辺長_P-Q,4.0
BC連続部材,辺長_Q-R,4.0
BC連続部材,辺長_R-S,29.44
